Rank,Model,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
1,XGBoost,-0.5609916683512592,0.8677653895516009,0.7527456753607621,1.3146729293229724,1.105494360210096
2,RandomForest,-0.25429526947590564,0.4555712848756222,0.5797706201284532,1.7139138107445413,1.445774096063643
3,LightGBM,-0.17366873981794634,0.20944803953780441,0.21528628136700534,2.342078216446044,2.0076619733339998
4,ExtraTrees,-0.1659362031624812,0.3052264975199417,0.06067444652911391,2.5624408001251426,2.0024935104206603
5,GPR,-0.07069754044547527,0.0723432579314407,-0.11574343960873179,2.792723523365048,2.4665638662978573
6,Lasso,-0.9973802643566568,0.6481777885211644,-4.905824677147251,6.42519107249075,3.6061378500997163
7,ElasticNet,-0.8750570317864843,0.6723000240044094,-5.364431372749731,6.6699960405578365,3.746833231483208
8,Ridge,-1.1927329215929523,0.7534254621350167,-9.770268490135754,8.676789011962233,4.243613176765558
