descriptor,missing_ratio,variance,mean,std
AATS0Z,0.0,12756.493496828149,71.14015877223588,112.94464793352604
AATS0are,0.0,0.3625844848729775,6.814321377794325,0.6021498857203059
AATS0d,0.0,0.22316942794134642,2.602829017005297,0.4724081158715909
AATS0dv,0.0,14.950267760642959,10.316155667949165,3.866557611188919
AATS0i,0.0,63.12282618886691,163.94360415021484,7.944987488276298
AATS0m,0.0,472064.15097533097,363.82734375643236,687.0692475837723
AATS0p,0.0,466.1021991379153,10.595876125611355,21.58940015697322
AATS0pe,0.0,0.3168799613379162,6.839904922214071,0.5629209192576842
AATS0se,0.03278688524590164,0.31603733174996923,8.311127185485894,0.5621719770230185
AATS0v,0.0,9964.264451154932,255.08062126979084,99.82116234123369
AATS1Z,0.0,33.98630930357705,26.68026369023989,5.82977780910877
AATS1are,0.0,0.15015114930560297,6.778433205927722,0.3874934184029491
AATS1d,0.0,0.3842023315427148,3.121740201647953,0.6198405694553357
AATS1dv,0.0,7.469552638133397,7.912600610782234,2.7330482319442146
AATS1i,0.0,44.96189547912076,151.74373187704796,6.705363187711816
AATS1m,0.0,586.9565047559153,100.85206594453366,24.22718524211831
AATS1p,0.0,0.0519643876729965,1.61008249114164,0.22795698645357745
AATS1pe,0.0,0.1307436669852167,6.886466558502753,0.36158493744238945
AATS1se,0.03278688524590164,0.1478537854290264,8.233908659356388,0.38451760093528414
AATS1v,0.0,926.4567934040487,245.62003775957749,30.43775276534141
AATS2Z,0.0,42.69090666437722,23.25489111571159,6.533827872264253
AATS2are,0.0,0.3656230839058944,6.7032995545297736,0.6046677467054898
AATS2d,0.0,0.3838123649735233,2.733568795726936,0.6195259195332535
AATS2dv,0.0,12.284672820419495,6.906140963834158,3.5049497600421455
AATS2i,0.0,64.59716340332315,158.29201247901912,8.037236054970835
AATS2m,0.0,753.3902566261872,87.14611970228535,27.447955417957587
AATS2p,0.0,0.07285653376496198,1.33172740837879,0.2699194949701892
AATS2pe,0.0,0.31494601580343823,6.768580407372651,0.5612005130106692
AATS2se,0.03278688524590164,0.3421720789060812,8.21131458170908,0.5849547665470222
AATS2v,0.0,1554.112609981521,198.44615631384232,39.422234969386516
AATS3Z,0.01639344262295082,73.7256915689053,18.701763928115724,8.586366610441537
AATS3are,0.01639344262295082,0.6983366136391437,6.776682930398829,0.8356653718080842
AATS3d,0.01639344262295082,0.34200629525733045,2.1228456720256657,0.5848130429952212
AATS3dv,0.01639344262295082,22.969051148998236,4.782546826505203,4.792603796371888
AATS3i,0.01639344262295082,68.8417067090199,166.19254080251096,8.297090255566701
AATS3m,0.01639344262295082,1261.1497602759114,66.86112011730303,35.51267041882251
AATS3p,0.01639344262295082,0.05948087112623672,1.0733658831170705,0.24388700483264114
AATS3pe,0.01639344262295082,0.6057428218802603,6.795810188809946,0.7782948168144641
AATS3se,0.04918032786885246,0.462440049612573,8.317275769286708,0.6800294476069202
AATS3v,0.01639344262295082,1535.225219097225,156.9275668900315,39.18195016965369
AATS4Z,0.04918032786885246,116.10435598298308,15.06677024851606,10.775173130070026
AATS4are,0.04918032786885246,1.5478924490528512,6.680781311977557,1.2441432590553434
AATS4d,0.04918032786885246,0.24856706404798362,1.7381896256010307,0.4985650048368654
AATS4dv,0.04918032786885246,56.406191365890145,4.364636962881767,7.51040553937603
AATS4i,0.04918032786885246,67.33533147960098,171.18572432189555,8.205810836206314
AATS4m,0.04918032786885246,2000.2071317799355,52.05423716531905,44.72367529374051
AATS4p,0.04918032786885246,0.045345898162044554,0.8798890932019566,0.2129457634282602
AATS4pe,0.04918032786885246,1.341325899644947,6.671473667858679,1.1581562500996776
AATS4se,0.08196721311475409,0.8959151908362514,8.248644687937768,0.9465279662198319
AATS4v,0.04918032786885246,1554.4730396921202,126.77626948476741,39.42680610564493
AATS5Z,0.11475409836065574,119.63406337859676,12.828098195867343,10.937735751909385
AATS5are,0.11475409836065574,1.5082279195332897,6.511801620157957,1.2280993117550754
AATS5d,0.11475409836065574,0.1878069031605268,1.4792448887932053,0.4333669382411709
AATS5dv,0.11475409836065574,44.162377610374136,4.02407430878829,6.64547798208482
AATS5i,0.11475409836065574,53.92179483582465,175.533580704696,7.343146112929025
AATS5m,0.11475409836065574,1981.9274494761873,43.89194977185253,44.51884375717981
AATS5p,0.11475409836065574,0.04284534570721537,0.7515723438218715,0.20699117301763226
AATS5pe,0.11475409836065574,1.3555251041863594,6.483126580111498,1.1642702023956293
AATS5se,0.13114754098360656,1.2533654109707482,8.196510766123463,1.1195380346244375
AATS5v,0.11475409836065574,1967.626818176311,104.49646405411455,44.35793974224131
AATSC0Z,0.0,7388.586969473482,41.594329252987336,85.95689018033099
AATSC0are,0.0,0.015430850693983778,0.27224793640110334,0.1242209752577389
AATSC0c,0.01639344262295082,0.02437011774580683,0.12757234055335195,0.15610931344992465
AATSC0d,0.0,0.030465571032509717,0.591187982160039,0.17454389428596384
AATSC0dv,0.0,1.675854621095184,5.131646202705339,1.2945480373841614
AATSC0i,0.0,3.6483650898817213,2.228199951141236,1.910069393996386
AATSC0m,0.0,298599.15406130237,242.11532818078754,546.442269650969
AATSC0p,0.0,292.7362099520505,7.663879691977094,17.109535643963294
AATSC0pe,0.0,0.015322894982006037,0.24931964630352588,0.12378568165182126
AATSC0se,0.03278688524590164,0.043135575916636006,0.23731401610707548,0.20769105882689318
AATSC0v,0.0,1491.9334661845955,65.9187986868558,38.6255545744601
AATSC1Z,0.0,72.42048617772923,0.15704296531904793,8.510022689613068
