Model,N_Desc,KFold_R2,KFold_Std,HoldOut_R2,HoldOut_RMSE,Extreme_Low_MAE,Extreme_High_MAE,R2_Diff
XGBoost,30,0.1312083100649159,0.3266557058275996,0.7822262155159178,1.233810811073581,,1.4526312238166608,-0.6510179054510019
RandomForest,15,0.1067056595949882,0.1772184984985682,0.427652650071983,2.000210074288198,,2.025983916841282,-0.3209469904769948
ExtraTrees,50,0.1697799199046036,0.114279122417388,0.3550698846854041,2.1232547320950643,,2.9655112643210995,-0.18528996478080054
XGBoost,64,0.0382295156342041,0.3143393777560135,0.3422264260572686,2.1442922849854487,,2.2122779574185487,-0.30399691042306454
RandomForest,50,0.1478828601758966,0.1273229837781258,0.3395406233534477,2.148665582515448,,3.5428467809425235,-0.1916577631775511
ElasticNet,5,-0.1279559183992844,0.3213059887449159,0.2979735885821007,2.2152487380965797,,3.3030736749136342,-0.4259295069813851
RandomForest,40,0.122696740052105,0.1379283761125936,0.2965481653627499,2.2174965636040294,,3.233554937158333,-0.1738514253106449
ExtraTrees,40,0.1603828487355451,0.1143090416317668,0.28971044501684,2.228247799540132,,3.1383151248819465,-0.12932759628129492
GPR,50,0.0422278925751388,0.1209487650959768,0.2795188985167913,2.244176803008913,,4.182569458141321,-0.23729100594165248
GPR,64,0.10734460139244,0.1355107594965492,0.2759893406835988,2.2496670750777787,,4.210238357257382,-0.1686447392911588
ExtraTrees,64,0.1528232514657078,0.115161123180987,0.2750460853291626,2.251132053381306,,3.579547295129752,-0.12222283386345478
ExtraTrees,30,0.1508208948076867,0.094346240137119,0.2502999060973472,2.289230664999885,,3.272043126671979,-0.0994790112896605
RandomForest,20,0.0976212377570136,0.0897415786666699,0.2349719264640366,2.3125144669979365,,2.879784261746874,-0.137350688707023
Ridge,15,0.1051856050240983,0.2536468390866057,0.2072508188420357,2.354039106162257,,2.089633443266642,-0.1020652138179374
XGBoost,20,0.0535710404608033,0.1333577823991157,0.1924704276056261,2.3758826709891308,,3.483913012960541,-0.1388993871448228
Lasso,20,-0.1366428865087176,0.3079407865038543,0.1762872601799333,2.3995713261437337,,2.5472206726126214,-0.3129301466886509
RandomForest,64,0.1155129732447347,0.1207447443070854,0.1708686841552147,2.4074508611400574,,4.331004758412606,-0.05535571091048
ElasticNet,30,-0.1515763823512826,0.362094215394059,0.1433929751304995,2.4470147545780607,,3.256066879917485,-0.2949693574817821
XGBoost,50,0.0184232016918834,0.3142356374926814,0.1391977101482608,2.452999608963814,,3.2021082923998314,-0.1207745084563774
XGBoost,40,-0.0538157711433505,0.3519013517745616,0.1216918965920204,2.477816935703452,,1.9673550015876569,-0.1755076677353709
